non_severe_asthma_with_recent_salbutamol_count,other_respiratory_conditions,heart_failure,other_heart_disease,diabetes,chronic_kidney_disease,chronic_liver_disease,other_neuro,psychosis_schiz_bipolar,asplenia,Count
0,0,0,0,0,1,0,1,0,0,148
1,0,0,1,0,0,0,0,0,1,146
1,0,1,1,0,0,1,0,0,0,143
0,1,1,1,1,0,0,1,0,0,142
1,1,0,0,1,0,0,1,0,0,141
0,0,0,0,0,0,1,0,0,1,139
1,0,0,1,1,1,0,0,0,0,139
0,1,0,0,1,1,0,0,0,0,139
1,0,1,1,0,0,0,0,1,0,135
0,0,0,0,1,1,1,0,0,0,134
1,0,0,0,1,0,0,0,0,1,130
1,0,0,1,0,1,0,0,0,0,129
0,0,0,0,1,0,1,0,1,0,127
1,0,1,1,1,0,0,0,1,0,125
0,0,0,0,1,0,0,1,1,0,125
1,1,0,1,1,0,0,1,0,0,122
0,0,1,0,1,0,0,0,0,1,121
1,0,1,0,0,0,1,0,0,0,119
0,0,0,1,0,0,1,1,0,0,116
1,0,1,0,0,0,0,0,1,0,110
1,0,1,0,1,0,1,0,0,0,107
1,0,1,0,1,0,0,1,0,0,105
1,1,0,1,0,0,0,0,1,0,103
0,1,1,0,0,0,1,0,0,0,101
0,1,1,1,0,0,1,0,0,0,99
0,1,1,1,1,0,1,0,0,0,94
1,1,0,1,0,0,1,0,0,0,90
1,1,0,1,1,0,1,0,0,0,87
1,0,1,0,1,0,0,0,1,0,85
1,0,1,1,1,1,0,0,0,0,85
0,0,0,0,1,1,0,0,1,0,84
0,1,0,1,1,1,0,0,0,0,83
0,0,0,1,1,0,1,0,1,0,82
0,1,1,0,1,0,0,1,0,0,81
0,0,0,0,1,0,1,1,0,0,80
1,1,0,1,1,0,0,0,1,0,79
0,0,0,1,1,0,1,1,0,0,77
1,0,0,1,1,0,0,0,0,1,76
0,0,0,1,0,0,1,0,1,0,76
0,1,0,1,0,1,0,0,0,0,75
0,1,1,0,1,0,1,0,0,0,74
1,0,0,0,0,0,0,1,1,0,73
0,1,1,0,0,0,0,0,1,0,73
1,0,0,0,0,0,1,0,1,0,71
0,0,0,0,0,1,0,0,0,1,69
0,1,1,1,0,0,0,0,1,0,67
0,1,0,1,0,0,0,0,0,1,67
