solid_organ_transplantation,cancer_excl_lung_and_haem_with_chemo_or_radio,lung_cancer_with_chemo_or_radio,haematological_cancer,bone_marrow_transplant,cystic_fibrosis,current_copd,sickle_cell_disease,permanant_immunosuppression,temporary_immunosuppression,dmards,chronic_cardiac_disease,intel_dis_incl_downs_syndrome,dialysis,Count
0,0,0,0,0,0,0,0,0,0,0,1,0,0,956278
0,0,0,0,0,0,1,0,0,0,0,0,0,0,379071
0,0,0,0,0,0,0,0,0,0,0,0,1,0,345734
0,0,0,0,0,0,0,0,0,0,1,0,0,0,239969
0,0,0,0,0,0,1,0,0,0,0,1,0,0,134110
0,1,0,0,0,0,0,0,0,0,0,0,0,0,107534
0,0,0,1,0,0,0,0,0,0,0,0,0,0,68820
0,0,0,0,0,0,0,0,0,0,1,1,0,0,31334
0,0,0,0,0,0,0,0,0,1,0,0,0,0,16833
0,0,0,0,0,0,1,0,0,0,1,0,0,0,16247
0,1,0,0,0,0,0,0,0,0,0,1,0,0,16177
0,0,0,0,0,0,0,0,0,1,1,0,0,0,13978
0,0,0,1,0,0,0,0,0,0,0,1,0,0,13393
0,0,0,0,0,0,0,0,0,0,0,1,1,0,12411
0,0,0,0,0,0,0,0,1,0,0,0,0,0,12057
0,0,0,0,0,0,1,0,0,0,1,1,0,0,6478
0,1,0,0,0,0,1,0,0,0,0,0,0,0,6383
0,0,0,0,0,0,0,0,0,0,0,0,0,1,5165
0,0,0,0,0,1,0,0,0,0,0,0,0,0,4777
0,0,0,1,0,0,1,0,0,0,0,0,0,0,4143
0,0,0,0,0,0,0,1,0,0,0,0,0,0,4100
1,0,0,0,0,0,0,0,0,0,1,0,0,1,3949
1,0,0,0,0,0,0,0,0,0,1,0,0,0,3786
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3561
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3479
0,0,0,0,0,0,0,0,0,0,0,1,0,1,2799
0,0,0,1,0,0,0,0,0,1,0,0,0,0,2711
0,0,0,1,0,0,0,0,0,0,1,0,0,0,2699
0,1,0,0,0,0,0,0,0,0,1,0,0,0,2674
0,0,0,0,0,0,1,0,0,0,0,0,1,0,2536
0,1,0,0,0,0,1,0,0,0,0,1,0,0,2372
0,0,0,0,0,0,0,0,0,0,1,0,1,0,2255
0,0,0,1,0,0,1,0,0,0,0,1,0,0,2178
0,0,0,0,0,0,0,0,0,1,0,1,0,0,2150
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1977
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1839
0,0,0,0,0,0,0,0,0,1,1,1,0,0,1754
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1654
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1434
1,0,0,0,0,0,0,0,0,0,1,1,0,1,1278
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1101
1,0,0,0,0,0,0,0,0,0,1,1,0,0,978
0,1,0,1,0,0,0,0,0,0,0,1,0,0,902
0,0,0,0,0,0,1,0,0,1,1,0,0,0,850
0,0,1,0,0,0,1,0,0,0,0,0,0,0,849
0,0,0,0,0,0,0,0,1,0,0,1,0,0,762
0,0,0,0,0,0,1,0,0,1,0,0,0,0,755
0,0,0,1,0,0,0,0,0,0,1,1,0,0,702
0,0,0,1,0,0,0,0,0,0,0,0,1,0,700
0,0,0,0,0,0,0,0,0,1,0,0,1,0,666
0,0,0,0,0,0,0,0,1,0,1,0,0,0,665
0,1,1,0,0,0,1,0,0,0,0,0,0,0,661
0,0,0,0,0,0,1,0,0,0,0,1,1,0,657
1,0,0,0,0,0,0,0,0,0,0,1,0,1,601
1,0,0,0,0,0,0,0,0,0,0,1,0,0,574
0,1,0,0,0,0,0,0,0,0,1,1,0,0,532
0,0,0,0,0,0,0,0,1,0,0,1,1,0,497
0,1,0,0,0,0,0,0,0,0,0,0,1,0,486
0,0,0,0,0,0,1,0,0,0,0,1,0,1,482
0,0,0,1,0,0,0,0,0,1,0,1,0,0,480
0,0,0,0,0,0,0,0,0,0,1,0,0,1,465
0,0,0,0,0,1,0,0,0,0,0,1,0,0,453
0,0,0,0,0,0,1,0,1,0,0,0,0,0,447
0,0,0,0,0,0,0,0,1,1,0,0,0,0,442
0,0,1,0,0,0,0,0,0,0,0,1,0,0,440
0,0,0,0,0,0,1,0,0,1,0,1,0,0,417
1,0,0,0,0,0,0,0,0,1,1,0,0,0,405
1,0,0,0,0,0,0,0,0,1,1,0,0,1,392
0,1,1,0,0,0,0,0,0,0,0,1,0,0,389
0,0,0,0,0,0,1,0,0,0,0,0,0,1,384
0,0,0,0,0,0,1,0,0,1,1,1,0,0,383
0,0,1,0,0,0,1,0,0,0,0,1,0,0,375
0,0,0,1,0,0,0,0,0,1,1,0,0,0,305
0,0,0,0,0,1,1,0,0,0,0,0,0,0,294
0,1,0,0,0,0,1,0,0,0,1,0,0,0,290
0,0,0,1,0,0,1,0,0,0,1,0,0,0,283
0,1,0,1,0,0,1,0,0,0,0,0,0,0,252
0,1,1,0,0,0,1,0,0,0,0,1,0,0,249
0,0,0,1,0,0,0,0,1,0,0,0,0,0,249
0,1,0,0,0,0,0,0,0,1,0,1,0,0,217
0,1,0,1,0,0,0,0,0,1,0,0,0,0,209
0,1,0,0,0,0,0,0,0,1,1,0,0,0,201
1,0,0,0,0,0,1,0,0,0,1,0,0,0,199
0,0,0,0,0,0,0,0,0,0,1,1,0,1,196
0,0,0,1,0,0,0,0,0,0,0,0,0,1,183
0,0,0,0,0,0,0,0,0,0,1,1,1,0,162
1,0,0,0,0,0,1,0,0,0,0,0,0,0,156
0,0,0,0,0,0,1,0,1,0,0,1,0,0,148
0,0,0,0,0,0,0,1,0,0,0,1,0,0,146
0,0,0,0,0,0,0,0,0,1,1,0,1,0,145
0,0,0,0,0,1,0,0,0,0,0,0,1,0,145
0,1,0,1,0,0,0,0,0,0,1,0,0,0,141
0,0,0,1,0,0,1,0,0,1,0,0,0,0,140
1,0,0,0,0,0,0,0,0,1,0,0,0,0,135
0,0,0,1,0,0,1,0,0,0,1,1,0,0,132
0,1,0,1,0,0,1,0,0,0,0,1,0,0,130
1,0,0,0,0,0,1,0,0,0,1,0,0,1,128
0,0,0,0,0,0,0,0,0,0,0,0,1,1,124
1,0,0,0,0,0,0,0,0,1,1,1,0,0,121
1,0,0,0,0,0,0,0,0,1,1,1,0,1,119
0,0,0,1,0,0,0,0,0,0,0,1,1,0,116
1,0,0,0,0,0,0,0,0,0,1,0,1,1,112
0,1,0,0,0,0,0,0,0,0,0,0,0,1,112
1,0,0,1,0,0,0,0,0,0,0,0,0,0,110
0,1,0,0,0,0,1,0,0,0,1,1,0,0,108
1,0,0,0,0,0,0,0,0,1,0,0,0,1,104
0,0,0,0,0,0,0,0,1,1,1,0,0,0,103
1,0,0,0,0,0,1,0,0,0,1,1,0,0,102
0,0,0,1,0,0,0,0,0,0,0,1,0,1,99
0,0,0,0,0,0,0,1,0,0,0,0,1,0,93
0,0,0,0,0,0,0,0,1,0,1,1,0,0,93
0,0,0,0,0,1,0,0,0,0,1,0,0,0,91
0,1,0,0,0,0,0,0,1,0,0,0,0,0,91
0,0,0,1,1,0,0,0,0,0,0,0,0,0,88
0,0,0,0,0,1,1,0,0,0,0,1,0,0,88
1,0,0,0,0,0,1,0,0,0,1,1,0,1,87
1,0,0,0,0,0,0,0,1,0,1,0,0,1,85
1,0,0,0,0,0,0,0,0,0,1,0,1,0,84
1,0,0,1,0,0,0,0,0,0,1,0,0,1,83
0,0,1,1,0,0,0,0,0,0,0,0,0,0,80
0,1,0,0,0,0,1,0,0,1,0,0,0,0,79
1,0,0,0,0,0,0,0,0,0,0,0,1,0,76
1,0,0,0,0,1,0,0,0,0,1,0,0,0,73
1,0,0,1,0,0,0,0,0,0,1,0,0,0,72
0,0,0,0,0,0,1,0,0,0,1,0,1,0,70
1,0,0,0,0,0,1,0,0,0,0,1,0,0,69
0,0,0,1,0,0,0,0,0,1,1,1,0,0,68
0,0,0,1,0,0,1,0,0,1,0,1,0,0,67
0,1,1,1,0,0,0,0,0,0,0,0,0,0,66
0,0,1,0,0,0,0,0,0,0,1,0,0,0,64
1,0,0,0,0,0,0,0,1,0,1,0,0,0,63
0,1,0,1,0,0,0,0,0,1,0,1,0,0,63
0,0,0,0,0,0,0,1,0,1,0,0,0,0,63
0,1,0,0,0,0,0,0,0,0,0,1,0,1,59
1,0,0,0,0,0,1,0,0,0,0,0,0,1,58
0,0,0,0,0,0,0,0,0,0,0,1,1,1,57
0,0,0,0,0,0,1,0,1,0,1,0,0,0,57
0,0,0,0,0,0,0,1,0,0,1,0,0,0,56
0,1,1,0,0,0,0,0,0,0,1,0,0,0,53
0,1,0,0,0,0,0,0,0,0,0,1,1,0,53
0,1,0,1,0,0,0,0,0,0,1,1,0,0,52
0,0,1,0,0,0,1,0,0,0,1,0,0,0,51
1,1,0,0,0,0,0,0,0,0,0,0,0,0,50
1,0,0,0,0,0,0,0,0,0,0,0,1,1,49
0,1,1,0,0,0,0,0,0,1,0,0,0,0,49
1,1,0,0,0,0,0,0,0,0,1,0,0,0,47
0,0,0,0,0,0,0,0,0,1,0,0,0,1,46
0,0,0,0,0,0,0,0,0,1,0,1,1,0,45
0,0,0,0,0,0,0,0,1,1,0,1,0,0,44
1,1,0,0,0,0,0,0,0,0,1,0,0,1,41
1,0,0,0,0,1,0,0,0,0,0,0,0,0,41
0,1,0,0,0,1,0,0,0,0,0,0,0,0,41
0,0,0,1,0,0,0,0,0,0,1,0,1,0,40
0,0,0,1,0,0,0,0,0,1,0,0,1,0,40
0,0,0,1,0,0,0,0,1,0,0,1,0,0,39
0,0,1,1,0,0,1,0,0,0,0,0,0,0,38
1,0,0,0,0,0,0,0,0,1,0,1,0,0,37
1,0,0,0,0,0,1,0,0,0,0,1,0,1,36
0,0,0,0,0,0,1,0,0,0,1,0,0,1,35
0,0,0,0,0,1,0,0,0,1,0,0,0,0,35
0,0,0,0,0,0,1,1,0,0,0,0,0,0,35
1,0,0,1,0,0,0,0,0,0,1,1,0,0,35
0,0,0,0,0,0,0,0,1,0,1,0,1,0,33
1,0,0,0,0,0,0,0,1,0,1,1,0,0,33
0,0,1,0,0,0,0,0,0,1,0,0,0,0,31
0,1,0,0,0,0,0,0,0,1,1,1,0,0,31
0,1,1,1,0,0,1,0,0,0,0,0,0,0,30
1,0,0,1,0,0,0,0,0,0,0,0,0,1,30
0,0,0,1,0,0,0,0,1,1,0,0,0,0,29
0,0,0,1,0,0,1,0,0,1,1,0,0,0,29
0,0,1,1,0,0,0,0,0,0,0,1,0,0,28
