solid_organ_transplantation,cancer_excl_lung_and_haem_with_chemo_or_radio,lung_cancer_with_chemo_or_radio,haematological_cancer,bone_marrow_transplant,cystic_fibrosis,current_copd,sickle_cell_disease,permanant_immunosuppression,temporary_immunosuppression,dmards,chronic_cardiac_disease,intel_dis_incl_downs_syndrome,dialysis,Count
0,0,0,0,0,0,0,0,0,0,0,1,0,0,941588
0,0,0,0,0,0,1,0,0,0,0,0,0,0,374119
0,0,0,0,0,0,0,0,0,0,0,0,1,0,342235
0,0,0,0,0,0,0,0,0,0,1,0,0,0,237964
0,0,0,0,0,0,1,0,0,0,0,1,0,0,130772
0,1,0,0,0,0,0,0,0,0,0,0,0,0,105983
0,0,0,1,0,0,0,0,0,0,0,0,0,0,67841
0,0,0,0,0,0,0,0,0,0,1,1,0,0,30826
0,0,0,0,0,0,0,0,0,1,0,0,0,0,16636
0,0,0,0,0,0,1,0,0,0,1,0,0,0,16037
0,1,0,0,0,0,0,0,0,0,0,1,0,0,15799
0,0,0,0,0,0,0,0,0,1,1,0,0,0,13881
0,0,0,1,0,0,0,0,0,0,0,1,0,0,13033
0,0,0,0,0,0,0,0,0,0,0,1,1,0,12217
0,0,0,0,0,0,0,0,1,0,0,0,0,0,11927
0,0,0,0,0,0,1,0,0,0,1,1,0,0,6318
0,1,0,0,0,0,1,0,0,0,0,0,0,0,6227
0,0,0,0,0,0,0,0,0,0,0,0,0,1,5047
0,0,0,0,0,1,0,0,0,0,0,0,0,0,4726
0,0,0,0,0,0,0,1,0,0,0,0,0,0,4040
0,0,0,1,0,0,1,0,0,0,0,0,0,0,4038
1,0,0,0,0,0,0,0,0,0,1,0,0,1,3913
1,0,0,0,0,0,0,0,0,0,1,0,0,0,3741
0,1,0,1,0,0,0,0,0,0,0,0,0,0,3497
1,0,0,0,0,0,0,0,0,0,0,0,0,0,3444
0,0,0,0,0,0,0,0,0,0,0,1,0,1,2712
0,0,0,1,0,0,0,0,0,0,1,0,0,0,2666
0,0,0,1,0,0,0,0,0,1,0,0,0,0,2660
0,1,0,0,0,0,0,0,0,0,1,0,0,0,2626
0,0,0,0,0,0,1,0,0,0,0,0,1,0,2490
0,1,0,0,0,0,1,0,0,0,0,1,0,0,2277
0,0,0,0,0,0,0,0,0,0,1,0,1,0,2221
0,0,0,0,0,0,0,0,0,1,0,1,0,0,2079
0,0,0,1,0,0,1,0,0,0,0,1,0,0,2078
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1963
