non_severe_asthma_with_recent_salbutamol_count,other_respiratory_conditions,heart_failure,other_heart_disease,diabetes,chronic_kidney_disease,chronic_liver_disease,other_neuro,psychosis_schiz_bipolar,asplenia,Count
0,0,0,0,0,0,0,0,0,0,812850
0,0,0,1,0,0,0,0,0,0,508768
0,0,0,1,1,0,0,0,0,0,214854
1,0,0,0,0,0,0,0,0,0,133214
0,0,0,0,1,0,0,0,0,0,112331
0,0,1,1,0,0,0,0,0,0,81938
0,0,1,0,0,0,0,0,0,0,68226
0,0,1,1,1,0,0,0,0,0,52542
1,0,0,1,0,0,0,0,0,0,48537
0,1,0,0,0,0,0,0,0,0,44943
0,0,1,0,1,0,0,0,0,0,28604
1,0,0,0,1,0,0,0,0,0,28347
1,0,0,1,1,0,0,0,0,0,24597
1,1,0,0,0,0,0,0,0,0,19861
0,0,0,0,0,0,0,1,0,0,18578
0,1,0,1,0,0,0,0,0,0,16519
0,0,0,0,0,0,0,0,1,0,14680
0,1,0,0,1,0,0,0,0,0,11265
0,0,0,0,0,0,1,0,0,0,10943
0,0,0,1,0,0,0,1,0,0,10427
0,0,0,0,0,1,0,0,0,0,10243
1,0,1,1,0,0,0,0,0,0,8808
0,1,0,1,1,0,0,0,0,0,8469
1,0,1,0,0,0,0,0,0,0,7828
1,0,1,1,1,0,0,0,0,0,6646
1,1,0,0,1,0,0,0,0,0,6157
1,1,0,1,0,0,0,0,0,0,5557
0,1,1,1,0,0,0,0,0,0,5180
0,0,0,1,0,0,0,0,1,0,5045
0,0,0,1,1,0,0,1,0,0,4679
0,1,1,0,0,0,0,0,0,0,4532
0,0,0,0,1,1,0,0,0,0,4294
0,0,0,1,0,0,1,0,0,0,4257
1,0,1,0,1,0,0,0,0,0,4122
0,1,1,1,1,0,0,0,0,0,3898
0,0,0,0,1,0,1,0,0,0,3889
0,0,0,0,1,0,0,0,1,0,3835
0,0,0,1,1,0,1,0,0,0,3426
1,1,0,1,1,0,0,0,0,0,3297
0,0,0,0,0,0,0,0,0,1,3039
0,0,0,1,1,0,0,0,1,0,2930
1,0,0,0,0,0,0,0,1,0,2621
0,0,0,0,1,0,0,1,0,0,2598
1,0,0,0,0,0,0,1,0,0,2350
0,1,1,0,1,0,0,0,0,0,2203
0,0,1,1,0,0,0,1,0,0,1935
1,0,0,0,0,0,1,0,0,0,1794
1,1,1,0,0,0,0,0,0,0,1714
1,1,1,1,0,0,0,0,0,0,1707
0,0,1,0,0,0,0,1,0,0,1607
0,0,0,1,1,1,0,0,0,0,1563
0,0,0,1,0,1,0,0,0,0,1544
0,1,0,0,0,0,0,1,0,0,1460
1,1,1,1,1,0,0,0,0,0,1452
0,0,1,1,1,0,0,1,0,0,1238
0,0,0,1,0,0,0,0,0,1,1214
0,0,1,1,1,0,1,0,0,0,1079
1,0,0,1,0,0,0,1,0,0,1038
0,0,1,1,0,0,1,0,0,0,1030
0,0,1,0,0,0,1,0,0,0,1007
0,1,0,0,0,0,0,0,1,0,976
0,1,0,0,0,0,1,0,0,0,905
1,0,0,0,1,0,0,0,1,0,894
1,1,1,0,1,0,0,0,0,0,882
